hour;date;Contenido volumetrico (10 cm);Contenido volumetrico (20 cm);Contenido volumetrico (40 cm);Contenido volumetrico (60 cm);Agua util;Temperatura en suelo (10 cm);Temperatura en suelo (20 cm);Temperatura en suelo (40 cm);Temperatura en suelo (60 cm)
7;05/02/2024;19,5;25,7;30,3;32,8;59,3004745;6,75;7,95;9,45;9,6
10;05/02/2024;19,5;25,7;30,3;32,86666667;59,45900783;6,666666667;7,633333333;9,333333333;9,6
11;05/02/2024;19,5;25,65;30,3;32,9;59,4693745;7;7,4;9,25;9,6
12;05/02/2024;19,5;25,7;30,3;32,825;59,3599245;7,65;7,525;9,15;9,6
13;05/02/2024;19,575;25,7;30,3;32,8;59,2910245;8,475;7,675;9,1;9,6
14;05/02/2024;19,6;25,7;30,3;32,8;59,2626745;9,35;7,975;9,075;9,6
15;05/02/2024;19,6;25,7;30,3;32,8;59,2532245;9,9;8,325;9;9,6
16;05/02/2024;19,6;25,7;30,3;32,8;59,2343245;10,45;8,65;9;9,6
17;05/02/2024;19,6;25,7;30,3;32,8;59,1965245;10,775;8,95;9,025;9,6
18;05/02/2024;19,6;25,7;30,3;32,8;59,1870745;10,625;9,225;9,1;9,525
19;05/02/2024;19,6;25,7;30,3;32,8;59,1587245;10,125;9,3;9,1;9,5
20;05/02/2024;19,575;25,7;30,3;32,8;59,1681745;9,625;9,3;9,2;9,5
21;05/02/2024;19,5;25,7;30,3;32,8;59,1776245;9,3;9,275;9,3;9,5
22;05/02/2024;19,5;25,7;30,3;32,8;59,1870745;9,05;9,15;9,3;9,5
23;05/02/2024;19,5;25,7;30,3;32,8;59,1870745;8,8;9,1;9,375;9,5
0;06/02/2024;19,5;25,7;30,3;32,8;59,1965245;8,625;8,95;9,4;9,5
1;06/02/2024;19,5;25,7;30,3;32,8;59,1965245;8,45;8,875;9,4;9,5
2;06/02/2024;19,5;25,7;30,3;32,8;59,1965245;8,325;8,8;9,4;9,5
3;06/02/2024;19,5;25,675;30,3;32,8;59,1904245;8,1;8,65;9,4;9,5
4;06/02/2024;19,4;25,675;30,3;32,8;59,1998745;7,85;8,55;9,4;9,575
5;06/02/2024;19,4;25,6;30,3;32,8;59,1248745;7,75;8,4;9,4;9,6
6;06/02/2024;19,4;25,6;30,3;32,9;59,3248745;7,6;8,325;9,4;9,6
7;06/02/2024;19,4;25,6;30,3;32,9;59,3248745;7,55;8,225;9,4;9,6
8;06/02/2024;19,4;25,6;30,3;32,9;59,3248745;7,4;8,1;9,35;9,6
9;06/02/2024;19,4;25,6;30,3;32,9;59,3248745;7,375;8,025;9,3;9,6
10;06/02/2024;19,4;25,6;30,3;32,875;59,2748745;7,675;7,925;9,3;9,6
11;06/02/2024;19,4;25,6;30,3;32,8;59,1248745;8,05;8;9,275;9,6
12;06/02/2024;19,4;25,6;30,3;32,8;59,1059745;8,45;8,1;9,2;9,6
13;06/02/2024;19,425;25,6;30,3;32,8;59,0870745;9,025;8,225;9,15;9,6
14;06/02/2024;19,5;25,6;30,3;32,8;59,0776245;9,675;8,4;9,1;9,6
15;06/02/2024;19,5;25,6;30,3;32,8;59,0492745;10,25;8,725;9,1;9,575
16;06/02/2024;19,5;25,625;30,3;32,8;59,0553745;10,75;9;9,1;9,5
17;06/02/2024;19,5;25,7;30,3;32,8;59,1114745;11,075;9,3;9,2;9,5
18;06/02/2024;19,5;25,7;30,3;32,8;59,0925745;10,925;9,525;9,25;9,5
19;06/02/2024;19,5;25,7;30,3;32,8;59,0925745;10,425;9,6;9,3;9,5
