hour;date;Índice de calor;Humedad relativa;Presión de vapor;Radiación solar;Temperatura;Punto de rocío;Temperatura del bulbo húmedo;Velocidad del viento;Racha de viento máxima;Dirección del viento;Humectación en hoja (porcentaje);Presión atmosférica;Precipitaciones
0;05/02/2024;1,775;96,5;7,4375;0;1,775;1,27;1,581047016;0;0,75;33,75;4,25;949,275;0
1;05/02/2024;1,275;97;7,19;0;1,275;0,845;1,112692304;0,75;2;157,5;5;949,125;0
2;05/02/2024;0,525;97,25;6,83;0;0,525;0,1325;0,381454617;0,25;1,75;33,75;5;948,875;0
3;05/02/2024;0,4;98;6,77;0;0,4;0,12;0,296292017;0,25;1;0;5;948,8;0
4;05/02/2024;-0,05;98;6,565;0;-0,05;-0,33;-0,151472777;0,5;1;0;5,25;948,5;0
5;05/02/2024;-0,525;98;6,3525;0;-0,525;-0,805;-0,624131236;0;0,5;202,5;7,75;948,275;0
6;05/02/2024;-0,625;98;6,31;0;-0,625;-0,905;-0,723642866;0;0;90;3,5;948,225;0
7;05/02/2024;-1,075;98,25;6,1175;0;-1,075;-1,32;-1,159396215;0;0;0;1,75;948,125;0
8;05/02/2024;-1,25;98,75;6,0425;6;-1,25;-1,425;-1,309688631;0;0,5;33,75;3,25;948,275;0
9;05/02/2024;-0,35;99;6,43;57,75;-0,35;-0,49;-0,399966892;2;3;0;21,75;948,375;0
10;05/02/2024;0,5;99;6,8175;128,25;0,5;0,36;0,44791898;2,25;4;28,125;11,5;948,65;0
11;05/02/2024;2,575;99,25;7,8625;184,5;2,575;2,47;2,532802961;1,5;3,25;33,75;0;948,65;0
12;05/02/2024;5,675;95;9,6825;341,25;5,675;4,895;5,325068449;2,25;4,25;168,75;0;948,55;0
13;05/02/2024;9,75;79,5;12,61;407,25;9,75;6,325;8,122241752;4;7,25;202,5;0;947,775;0
14;05/02/2024;12,175;71,75;14,6875;291;12,175;7,1725;9,707872502;3;5,5;168,75;0;946,725;0
15;05/02/2024;13,625;69;16,0875;259,5;13,625;7,9925;10,76632286;2;4,25;146,25;0;945,9;0
16;05/02/2024;14,475;67;16,9625;153;14,475;8,3675;11,33039655;1;3,25;123,75;0;945,625;0
17;05/02/2024;14,6;67;17,095;42,75;14,6;8,485;11,44019348;1;3,5;146,25;0;945,45;0
18;05/02/2024;11,8;76,5;14,36;9;11,8;7,75;9,780799891;1,75;2,75;213,75;0;945,45;0
19;05/02/2024;8,575;86;11,6725;0;8,575;6,34;7,525502302;0,25;2,25;236,25;0;945,85;0
20;05/02/2024;6,325;90,75;10,0875;0;6,325;4,905;5,69283311;0,5;2;180;2,25;946,1;0
21;05/02/2024;5,35;94,5;9,45;0;5,35;4,525;4,991438212;0,25;0,75;180;2,25;946,25;0
22;05/02/2024;5,05;95;9,265;0;5,05;4,305;4,728403927;0;0,75;33,75;4;946,4;0
23;05/02/2024;4,25;95,25;8,7825;0;4,25;3,5475;3,954952742;0;1,25;123,75;3,75;946,225;0
0;06/02/2024;3,625;96;8,425;0;3,625;3,035;3,38329135;0,5;1,5;56,25;4;945,825;0
1;06/02/2024;3,65;97;8,4375;0;3,65;3,21;3,468634667;0,25;1,75;213,75;3,75;945,575;0
